09-20-2026 04:41:58 RAM 650/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [1%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.625C/45.812C soc2@45.187C/45.343C soc0@44.906C/45.156C gpu@45.593C/45.875C tj@45.625C/45.875C soc1@45.375C/45.531C VDD_IN 5497mW/5499mW/5655mW VDD_CPU_GPU_CV 1025mW/1021mW/1143mW VDD_SOC 1461mW/1481mW/1540mW
09-20-2026 04:41:59 RAM 650/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.718C/45.812C soc2@45.156C/45.343C soc0@45.156C/45.156C gpu@45.593C/45.875C tj@45.718C/45.875C soc1@45.562C/45.562C VDD_IN 5497mW/5499mW/5655mW VDD_CPU_GPU_CV 1026mW/1021mW/1143mW VDD_SOC 1461mW/1480mW/1540mW
09-20-2026 04:41:59 RAM 651/7546MB (lfb 4x4MB) SWAP 0/2048MB (cached 0MB) CPU [1%@1344,0%@1344,98%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.531C/45.812C soc2@45.218C/45.343C soc0@45.125C/45.156C gpu@45.531C/45.875C tj@45.531C/45.875C soc1@45.406C/45.562C VDD_IN 5418mW/5496mW/5655mW VDD_CPU_GPU_CV 1026mW/1021mW/1143mW VDD_SOC 1463mW/1480mW/1540mW
09-20-2026 04:42:00 RAM 663/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@45.468C/45.812C soc2@45.125C/45.343C soc0@45.093C/45.156C gpu@45.906C/45.906C tj@45.906C/45.906C soc1@45.437C/45.562C VDD_IN 5497mW/5496mW/5655mW VDD_CPU_GPU_CV 1026mW/1021mW/1143mW VDD_SOC 1463mW/1479mW/1540mW
09-20-2026 04:42:00 RAM 691/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.437C/45.812C soc2@45.187C/45.343C soc0@44.968C/45.156C gpu@45.531C/45.906C tj@45.531C/45.906C soc1@45.406C/45.562C VDD_IN 5576mW/5498mW/5655mW VDD_CPU_GPU_CV 1026mW/1021mW/1143mW VDD_SOC 1502mW/1480mW/1540mW
09-20-2026 04:42:01 RAM 691/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@46C/46C soc2@45.281C/45.343C soc0@44.937C/45.156C gpu@45.937C/45.937C tj@46C/46C soc1@45.406C/45.562C VDD_IN 5537mW/5499mW/5655mW VDD_CPU_GPU_CV 1026mW/1021mW/1143mW VDD_SOC 1502mW/1481mW/1540mW
09-20-2026 04:42:01 RAM 693/7546MB (lfb 4x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,3%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.625C/46C soc2@45.187C/45.343C soc0@45.25C/45.25C gpu@45.562C/45.937C tj@45.625C/46C soc1@45.437C/45.562C VDD_IN 5576mW/5501mW/5655mW VDD_CPU_GPU_CV 987mW/1020mW/1143mW VDD_SOC 1500mW/1481mW/1540mW
09-20-2026 04:42:02 RAM 693/7546MB (lfb 4x4MB) SWAP 0/2048MB (cached 0MB) CPU [3%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.656C/46C soc2@45.125C/45.343C soc0@45.125C/45.25C gpu@45.937C/45.937C tj@45.937C/46C soc1@45.562C/45.562C VDD_IN 5497mW/5501mW/5655mW VDD_CPU_GPU_CV 1026mW/1021mW/1143mW VDD_SOC 1461mW/1481mW/1540mW
09-20-2026 04:42:02 RAM 693/7546MB (lfb 4x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,1%@1344,2%@729,0%@729] GR3D_FREQ 0% cpu@45.406C/46C soc2@45.25C/45.343C soc0@45.031C/45.25C gpu@45.75C/45.937C tj@45.75C/46C soc1@45.5C/45.562C VDD_IN 5458mW/5500mW/5655mW VDD_CPU_GPU_CV 1025mW/1021mW/1143mW VDD_SOC 1461mW/1480mW/1540mW
09-20-2026 04:42:03 RAM 697/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.593C/46C soc2@45.281C/45.343C soc0@45.062C/45.25C gpu@45.687C/45.937C tj@45.875C/46C soc1@45.5C/45.562C VDD_IN 5497mW/5500mW/5655mW VDD_CPU_GPU_CV 987mW/1020mW/1143mW VDD_SOC 1502mW/1481mW/1540mW
09-20-2026 04:42:03 RAM 717/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,98%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.531C/46C soc2@45.218C/45.343C soc0@45.031C/45.25C gpu@45.75C/45.937C tj@45.75C/46C soc1@45.375C/45.562C VDD_IN 5537mW/5501mW/5655mW VDD_CPU_GPU_CV 1026mW/1020mW/1143mW VDD_SOC 1500mW/1481mW/1540mW
09-20-2026 04:42:04 RAM 749/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.875C/46C soc2@45.187C/45.343C soc0@45C/45.25C gpu@45.656C/45.937C tj@46C/46C soc1@45.437C/45.562C VDD_IN 5695mW/5505mW/5695mW VDD_CPU_GPU_CV 1026mW/1020mW/1143mW VDD_SOC 1542mW/1482mW/1542mW
09-20-2026 04:42:04 RAM 772/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [1%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.875C/46C soc2@45.218C/45.343C soc0@45.25C/45.25C gpu@45.75C/45.937C tj@45.875C/46C soc1@45.406C/45.562C VDD_IN 5655mW/5508mW/5695mW VDD_CPU_GPU_CV 1026mW/1020mW/1143mW VDD_SOC 1500mW/1483mW/1542mW
09-20-2026 04:42:05 RAM 772/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.812C/46C soc2@45.25C/45.343C soc0@45.187C/45.25C gpu@45.875C/45.937C tj@45.875C/46C soc1@45.656C/45.656C VDD_IN 5735mW/5513mW/5735mW VDD_CPU_GPU_CV 1105mW/1022mW/1143mW VDD_SOC 1542mW/1484mW/1542mW
09-20-2026 04:42:05 RAM 779/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@45.406C/46C soc2@45.312C/45.343C soc0@45.156C/45.25C gpu@45.718C/45.937C tj@45.718C/46C soc1@45.5C/45.656C VDD_IN 5616mW/5515mW/5735mW VDD_CPU_GPU_CV 1026mW/1022mW/1143mW VDD_SOC 1502mW/1484mW/1542mW
09-20-2026 04:42:06 RAM 778/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.437C/46C soc2@45.312C/45.343C soc0@45.156C/45.25C gpu@45.593C/45.937C tj@45.593C/46C soc1@45.531C/45.656C VDD_IN 5576mW/5517mW/5735mW VDD_CPU_GPU_CV 1026mW/1022mW/1143mW VDD_SOC 1500mW/1485mW/1542mW
09-20-2026 04:42:07 RAM 746/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [1%@1344,1%@1344,96%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.812C/46C soc2@45.312C/45.343C soc0@45.093C/45.25C gpu@45.781C/45.937C tj@45.812C/46C soc1@45.406C/45.656C VDD_IN 5497mW/5516mW/5735mW VDD_CPU_GPU_CV 985mW/1022mW/1143mW VDD_SOC 1500mW/1485mW/1542mW
09-20-2026 04:42:07 RAM 692/7546MB (lfb 4x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@729,2%@729,98%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.437C/46C soc2@45.218C/45.343C soc0@45.031C/45.25C gpu@45.593C/45.937C tj@45.593C/46C soc1@45.406C/45.656C VDD_IN 5576mW/5517mW/5735mW VDD_CPU_GPU_CV 908mW/1019mW/1143mW VDD_SOC 1540mW/1486mW/1542mW
09-20-2026 04:42:08 RAM 611/7546MB (lfb 10x4MB) SWAP 0/2048MB (cached 0MB) CPU [78%@1344,32%@1344,12%@1344,13%@1344,18%@729,13%@729] GR3D_FREQ 0% cpu@45.625C/46C soc2@45.312C/45.343C soc0@45.218C/45.25C gpu@45.531C/45.937C tj@45.687C/46C soc1@45.687C/45.687C VDD_IN 5616mW/5519mW/5735mW VDD_CPU_GPU_CV 1026mW/1019mW/1143mW VDD_SOC 1500mW/1486mW/1542mW
09-20-2026 04:42:08 RAM 638/7546MB (lfb 10x4MB) SWAP 0/2048MB (cached 0MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.468C/46C soc2@45.375C/45.375C soc0@45.156C/45.25C gpu@45.562C/45.937C tj@45.562C/46C soc1@45.531C/45.687C VDD_IN 5537mW/5520mW/5735mW VDD_CPU_GPU_CV 1026mW/1020mW/1143mW VDD_SOC 1500mW/1487mW/1542mW
