09-20-2026 06:09:58 RAM 1914/7546MB (lfb 50x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.718C/45.937C soc2@45.562C/45.656C soc0@45.25C/45.406C gpu@46.093C/46.187C tj@46.093C/46.187C soc1@45.625C/45.906C VDD_IN 5497mW/5475mW/5735mW VDD_CPU_GPU_CV 947mW/973mW/1222mW VDD_SOC 1500mW/1492mW/1500mW
09-20-2026 06:09:58 RAM 1919/7546MB (lfb 49x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.906C/45.937C soc2@45.593C/45.656C soc0@45.437C/45.437C gpu@46.218C/46.218C tj@46.218C/46.218C soc1@45.625C/45.906C VDD_IN 5488mW/5475mW/5735mW VDD_CPU_GPU_CV 985mW/973mW/1222mW VDD_SOC 1500mW/1492mW/1500mW
09-20-2026 06:09:59 RAM 1919/7546MB (lfb 49x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,1%@1344,0%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.656C/45.937C soc2@45.593C/45.656C soc0@45.343C/45.437C gpu@46C/46.218C tj@45.906C/46.218C soc1@45.906C/45.906C VDD_IN 5458mW/5475mW/5735mW VDD_CPU_GPU_CV 985mW/974mW/1222mW VDD_SOC 1500mW/1493mW/1500mW
09-20-2026 06:09:59 RAM 1921/7546MB (lfb 49x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.656C/45.937C soc2@45.531C/45.656C soc0@45.468C/45.468C gpu@46.343C/46.343C tj@46.343C/46.343C soc1@45.968C/45.968C VDD_IN 5449mW/5474mW/5735mW VDD_CPU_GPU_CV 985mW/974mW/1222mW VDD_SOC 1500mW/1493mW/1500mW
09-20-2026 06:10:00 RAM 1924/7546MB (lfb 48x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.593C/45.937C soc2@45.625C/45.656C soc0@45.343C/45.468C gpu@45.812C/46.343C tj@45.843C/46.343C soc1@45.843C/45.968C VDD_IN 5458mW/5473mW/5735mW VDD_CPU_GPU_CV 985mW/974mW/1222mW VDD_SOC 1500mW/1493mW/1500mW
09-20-2026 06:10:00 RAM 1928/7546MB (lfb 47x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,1%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@46C/46C soc2@45.656C/45.656C soc0@45.343C/45.468C gpu@46.187C/46.343C tj@46.187C/46.343C soc1@45.812C/45.968C VDD_IN 5449mW/5473mW/5735mW VDD_CPU_GPU_CV 985mW/974mW/1222mW VDD_SOC 1500mW/1493mW/1500mW
09-20-2026 06:10:01 RAM 1934/7546MB (lfb 45x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@45.656C/46C soc2@45.625C/45.656C soc0@45.218C/45.468C gpu@45.812C/46.343C tj@45.812C/46.343C soc1@45.812C/45.968C VDD_IN 5497mW/5473mW/5735mW VDD_CPU_GPU_CV 985mW/975mW/1222mW VDD_SOC 1500mW/1493mW/1500mW
09-20-2026 06:10:01 RAM 1935/7546MB (lfb 44x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.843C/46C soc2@45.656C/45.656C soc0@45.312C/45.468C gpu@46.218C/46.343C tj@46.218C/46.343C soc1@45.687C/45.968C VDD_IN 5537mW/5475mW/5735mW VDD_CPU_GPU_CV 1025mW/976mW/1222mW VDD_SOC 1500mW/1493mW/1500mW
09-20-2026 06:10:02 RAM 1939/7546MB (lfb 43x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@45.906C/46C soc2@45.625C/45.656C soc0@45.218C/45.468C gpu@45.781C/46.343C tj@45.906C/46.343C soc1@45.75C/45.968C VDD_IN 5528mW/5476mW/5735mW VDD_CPU_GPU_CV 1025mW/977mW/1222mW VDD_SOC 1500mW/1494mW/1500mW
09-20-2026 06:10:02 RAM 1498/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [84%@1344,0%@1344,16%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.812C/46C soc2@45.562C/45.656C soc0@45.562C/45.562C gpu@46.281C/46.343C tj@46.281C/46.343C soc1@45.968C/45.968C VDD_IN 5488mW/5476mW/5735mW VDD_CPU_GPU_CV 1025mW/978mW/1222mW VDD_SOC 1500mW/1494mW/1500mW
09-20-2026 06:10:03 RAM 1558/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [4%@1344,2%@1344,94%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.625C/46C soc2@45.687C/45.687C soc0@45.312C/45.562C gpu@46.062C/46.343C tj@46.062C/46.343C soc1@45.843C/45.968C VDD_IN 5537mW/5478mW/5735mW VDD_CPU_GPU_CV 987mW/978mW/1222mW VDD_SOC 1500mW/1494mW/1500mW
09-20-2026 06:10:03 RAM 1606/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@1344,1%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.781C/46C soc2@45.625C/45.687C soc0@45.343C/45.562C gpu@45.968C/46.343C tj@45.968C/46.343C soc1@45.843C/45.968C VDD_IN 5537mW/5479mW/5735mW VDD_CPU_GPU_CV 985mW/978mW/1222mW VDD_SOC 1500mW/1494mW/1500mW
09-20-2026 06:10:04 RAM 1642/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [1%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@46.093C/46.093C soc2@45.531C/45.687C soc0@45.406C/45.562C gpu@45.968C/46.343C tj@46.093C/46.343C soc1@45.718C/45.968C VDD_IN 5488mW/5479mW/5735mW VDD_CPU_GPU_CV 985mW/979mW/1222mW VDD_SOC 1500mW/1494mW/1500mW
