09-20-2026 06:40:42 RAM 1806/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [2%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.937C/45.312C soc2@45C/45.125C soc0@44.843C/45.031C gpu@45.687C/45.781C tj@45.687C/45.781C soc1@45.343C/45.437C VDD_IN 4699mW/5439mW/5695mW VDD_CPU_GPU_CV 473mW/891mW/1026mW VDD_SOC 1461mW/1517mW/1579mW
09-20-2026 06:40:43 RAM 1806/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.843C/45.312C soc2@45.031C/45.125C soc0@44.812C/45.031C gpu@45.406C/45.781C tj@45.406C/45.781C soc1@45.281C/45.437C VDD_IN 4699mW/5418mW/5695mW VDD_CPU_GPU_CV 473mW/878mW/1026mW VDD_SOC 1461mW/1516mW/1579mW
09-20-2026 06:40:43 RAM 1806/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.968C/45.312C soc2@45.062C/45.125C soc0@44.75C/45.031C gpu@45.375C/45.781C tj@45.375C/45.781C soc1@45.312C/45.437C VDD_IN 4659mW/5396mW/5695mW VDD_CPU_GPU_CV 473mW/867mW/1026mW VDD_SOC 1461mW/1514mW/1579mW
09-20-2026 06:40:44 RAM 1806/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.75C/45.312C soc2@45.031C/45.125C soc0@44.937C/45.031C gpu@45.218C/45.781C tj@45.531C/45.781C soc1@45.531C/45.531C VDD_IN 4659mW/5375mW/5695mW VDD_CPU_GPU_CV 473mW/856mW/1026mW VDD_SOC 1461mW/1513mW/1579mW
09-20-2026 06:40:44 RAM 1806/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.781C/45.312C soc2@45C/45.125C soc0@44.937C/45.031C gpu@45.375C/45.781C tj@45.375C/45.781C soc1@45.343C/45.531C VDD_IN 4659mW/5356mW/5695mW VDD_CPU_GPU_CV 473mW/846mW/1026mW VDD_SOC 1461mW/1511mW/1579mW
09-20-2026 06:40:45 RAM 1806/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.906C/45.312C soc2@44.968C/45.125C soc0@44.875C/45.031C gpu@45.218C/45.781C tj@45.281C/45.781C soc1@45.281C/45.531C VDD_IN 4659mW/5338mW/5695mW VDD_CPU_GPU_CV 473mW/836mW/1026mW VDD_SOC 1421mW/1509mW/1579mW
09-20-2026 06:40:45 RAM 1806/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [2%@729,0%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.031C/45.312C soc2@44.937C/45.125C soc0@44.812C/45.031C gpu@45.562C/45.781C tj@45.562C/45.781C soc1@45.281C/45.531C VDD_IN 4699mW/5321mW/5695mW VDD_CPU_GPU_CV 473mW/826mW/1026mW VDD_SOC 1421mW/1507mW/1579mW
09-20-2026 06:40:46 RAM 1806/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45C/45.312C soc2@44.906C/45.125C soc0@44.843C/45.031C gpu@45.25C/45.781C tj@45.343C/45.781C soc1@45.343C/45.531C VDD_IN 4659mW/5305mW/5695mW VDD_CPU_GPU_CV 473mW/818mW/1026mW VDD_SOC 1461mW/1506mW/1579mW
09-20-2026 06:40:46 RAM 1806/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.812C/45.312C soc2@44.968C/45.125C soc0@45C/45.031C gpu@45.625C/45.781C tj@45.625C/45.781C soc1@45.531C/45.531C VDD_IN 4706mW/5290mW/5695mW VDD_CPU_GPU_CV 473mW/809mW/1026mW VDD_SOC 1461mW/1505mW/1579mW
09-20-2026 06:40:47 RAM 1806/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.656C/45.312C soc2@44.968C/45.125C soc0@44.843C/45.031C gpu@45.437C/45.781C tj@45.437C/45.781C soc1@45.406C/45.531C VDD_IN 4659mW/5275mW/5695mW VDD_CPU_GPU_CV 473mW/801mW/1026mW VDD_SOC 1461mW/1503mW/1579mW
