09-21-2026 04:01:47 RAM 1626/7546MB (lfb 32x4MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@48.656C/49.531C soc2@48.437C/48.75C soc0@48.687C/48.718C gpu@49.656C/49.75C tj@49.656C/49.75C soc1@49.218C/49.343C VDD_IN 5449mW/5534mW/5883mW VDD_CPU_GPU_CV 985mW/1026mW/1300mW VDD_SOC 1500mW/1504mW/1540mW
09-21-2026 04:01:47 RAM 1641/7546MB (lfb 32x4MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@48.718C/49.531C soc2@48.562C/48.75C soc0@48.625C/48.718C gpu@49.093C/49.75C tj@49.093C/49.75C soc1@49.093C/49.343C VDD_IN 5449mW/5532mW/5883mW VDD_CPU_GPU_CV 985mW/1025mW/1300mW VDD_SOC 1500mW/1504mW/1540mW
09-21-2026 04:01:48 RAM 1624/7546MB (lfb 32x4MB) CPU [0%@1344,100%@1344,1%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@48.593C/49.531C soc2@48.593C/48.75C soc0@48.531C/48.718C gpu@49.656C/49.75C tj@49.656C/49.75C soc1@49.031C/49.343C VDD_IN 5449mW/5530mW/5883mW VDD_CPU_GPU_CV 1025mW/1025mW/1300mW VDD_SOC 1500mW/1504mW/1540mW
09-21-2026 04:01:48 RAM 1609/7546MB (lfb 32x4MB) CPU [35%@1344,66%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.218C/49.531C soc2@48.5C/48.75C soc0@48.437C/48.718C gpu@49.406C/49.75C tj@49.406C/49.75C soc1@49.031C/49.343C VDD_IN 5488mW/5529mW/5883mW VDD_CPU_GPU_CV 1025mW/1025mW/1300mW VDD_SOC 1500mW/1504mW/1540mW
09-21-2026 04:01:49 RAM 1579/7546MB (lfb 32x4MB) CPU [96%@1344,5%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@48.843C/49.531C soc2@48.531C/48.75C soc0@48.437C/48.718C gpu@49.187C/49.75C tj@49.187C/49.75C soc1@48.875C/49.343C VDD_IN 5449mW/5528mW/5883mW VDD_CPU_GPU_CV 1025mW/1025mW/1300mW VDD_SOC 1500mW/1504mW/1540mW
09-21-2026 04:01:49 RAM 1594/7546MB (lfb 32x4MB) CPU [0%@1344,0%@1344,98%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.218C/49.531C soc2@48.468C/48.75C soc0@48.625C/48.718C gpu@49.281C/49.75C tj@49.281C/49.75C soc1@49.218C/49.343C VDD_IN 5528mW/5528mW/5883mW VDD_CPU_GPU_CV 1025mW/1025mW/1300mW VDD_SOC 1500mW/1504mW/1540mW
09-21-2026 04:01:50 RAM 1606/7546MB (lfb 32x4MB) CPU [1%@1344,0%@1344,100%@1344,3%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@48.968C/49.531C soc2@48.531C/48.75C soc0@48.531C/48.718C gpu@49.156C/49.75C tj@49.156C/49.75C soc1@49.093C/49.343C VDD_IN 5528mW/5528mW/5883mW VDD_CPU_GPU_CV 1025mW/1025mW/1300mW VDD_SOC 1500mW/1504mW/1540mW
09-21-2026 04:01:50 RAM 1542/7546MB (lfb 32x4MB) CPU [8%@1113,9%@1113,46%@1113,27%@1113,0%@729,1%@729] GR3D_FREQ 0% cpu@48.812C/49.531C soc2@48.531C/48.75C soc0@48.468C/48.718C gpu@49.125C/49.75C tj@49.125C/49.75C soc1@48.968C/49.343C VDD_IN 5449mW/5526mW/5883mW VDD_CPU_GPU_CV 946mW/1024mW/1300mW VDD_SOC 1500mW/1504mW/1540mW
09-21-2026 04:01:51 RAM 1599/7546MB (lfb 29x4MB) CPU [45%@1344,14%@1344,21%@1344,27%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@48.812C/49.531C soc2@48.5C/48.75C soc0@48.343C/48.718C gpu@49.5C/49.75C tj@49.5C/49.75C soc1@48.843C/49.343C VDD_IN 5567mW/5527mW/5883mW VDD_CPU_GPU_CV 985mW/1023mW/1300mW VDD_SOC 1540mW/1505mW/1540mW
09-21-2026 04:01:51 RAM 1680/7546MB (lfb 29x4MB) CPU [41%@1344,0%@1344,58%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.437C/49.531C soc2@48.468C/48.75C soc0@48.343C/48.718C gpu@49.218C/49.75C tj@49.437C/49.75C soc1@48.906C/49.343C VDD_IN 5607mW/5528mW/5883mW VDD_CPU_GPU_CV 1025mW/1023mW/1300mW VDD_SOC 1540mW/1505mW/1540mW
09-21-2026 04:01:52 RAM 1663/7546MB (lfb 29x4MB) CPU [1%@1344,0%@1344,69%@1344,31%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@48.843C/49.531C soc2@48.468C/48.75C soc0@48.656C/48.718C gpu@49.5C/49.75C tj@49.5C/49.75C soc1@49.218C/49.343C VDD_IN 5646mW/5531mW/5883mW VDD_CPU_GPU_CV 1064mW/1024mW/1300mW VDD_SOC 1540mW/1506mW/1540mW
09-21-2026 04:01:52 RAM 1669/7546MB (lfb 29x4MB) CPU [0%@1344,0%@1344,0%@1344,100%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@48.875C/49.531C soc2@48.531C/48.75C soc0@48.562C/48.718C gpu@49.343C/49.75C tj@49.343C/49.75C soc1@49.093C/49.343C VDD_IN 5528mW/5531mW/5883mW VDD_CPU_GPU_CV 1025mW/1024mW/1300mW VDD_SOC 1500mW/1506mW/1540mW
09-21-2026 04:01:53 RAM 1656/7546MB (lfb 29x4MB) CPU [38%@1344,1%@1344,35%@1344,28%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@49C/49.531C soc2@48.531C/48.75C soc0@48.468C/48.718C gpu@49.531C/49.75C tj@49.531C/49.75C soc1@49.062C/49.343C VDD_IN 5528mW/5531mW/5883mW VDD_CPU_GPU_CV 985mW/1023mW/1300mW VDD_SOC 1500mW/1506mW/1540mW
09-21-2026 04:01:53 RAM 1683/7546MB (lfb 29x4MB) CPU [0%@1344,0%@1344,100%@1344,1%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@49.093C/49.531C soc2@48.468C/48.75C soc0@48.375C/48.718C gpu@49.375C/49.75C tj@49.375C/49.75C soc1@49C/49.343C VDD_IN 5567mW/5531mW/5883mW VDD_CPU_GPU_CV 946mW/1022mW/1300mW VDD_SOC 1540mW/1506mW/1540mW
